is_remote,ai_level,_freq
Z kanceláře,None,10484
Pouze Remote,None,3697
Z kanceláře,AI Integration,1486
Pouze Remote,AI Integration,868
Z kanceláře,Applied/Core AI,811
Pouze Remote,Applied/Core AI,502
