coef,b,se,z,p,ci_low,ci_high
cluster_architecture__methods,.0047507635066488,.0088905142741576,.5343631830678263,.5930902860225733,-.0126746444707001,.0221761714839977
cluster_bi__analytics,.0374755095245308,.0104473820815743,3.5870717881205,.0003344122794036,.0169986406446452,.0579523784044164
cluster_backend_development,.0234323903167239,.0098416325624715,2.380945454728438,.0172682686696006,.0041427904942798,.042721990139168
cluster_certifications,-.053576890175008,.0240410679666982,-2.228556994607018,.0258433951566339,-.1006973833897365,-.0064563969602795
cluster_cloud_computing,.0287016260253283,.0098401525734056,2.916786687118906,.0035365754729986,.0094149269814533,.0479883250692033
cluster_data_engineering,.0460821410884375,.0099289657704969,4.64118239035195,3.46421176101e-06,.0266213681782636,.0655429139986114
cluster_data_science__ml,.166009310703117,.0106637450556781,15.5676368701934,0,.1451083703939879,.1869102510122461
cluster_databases__storage,-.0189942526344627,.0094537955306692,-2.009166855031205,.0445194414995664,-.0375236918745743,-.0004648133943511
cluster_devops__containers,.024858974355397,.0094506282951029,2.630404411130883,.0085283349385057,.0063357428969953,.0433822058137987
cluster_dynamic__web,.0716436806918589,.0094573565359777,7.575444620207754,3.57491813929e-14,.0531072618813426,.0901800995023752
cluster_enterprise__managed,-.025953460795088,.0095536957590924,-2.716588579910313,.0065958542428939,-.0446787044829091,-.0072282171072669
cluster_enterprise_platforms,.0214841793952235,.0287942346324312,.7461278158449706,.4555902077783824,-.0349525204843417,.0779208792747886
cluster_frontend_development,.0073995863926783,.0094446920251801,.7834650799571411,.4333540520944399,-.0111120099766747,.0259111827620313
cluster_generative_ai,.3615095911948387,.0221616652775936,16.31238386947124,0,.3180727272507552,.4049464551389222
cluster_mobile__desktop,-.0059213464471391,.0138448951659664,-.4276916781352731,.6688756094240231,-.0330573409724332,.021214648078155
cluster_networking,-.0413991327750024,.0129341435790778,-3.200763353359507,.001370640514621,-.0667500541899949,-.0160482113600099
cluster_os__embedded,-.0436105848533317,.013036562560215,-3.345251837046565,.0008220788926478,-.0691622474713531,-.0180589222353103
cluster_scripting__shell,-.0521501772740514,.0177548045419289,-2.937243107965285,.0033114439964963,-.086949594176232,-.0173507603718708
cluster_security__identity,-.0242525522258666,.0120217781040618,-2.017384784175345,.0436553739021441,-.0478152373098277,-.0006898671419055
cluster_systems_programming,.0140421719223841,.012035966272319,1.166684220001438,.2433379177202737,-.0095483219713611,.0376326658161293
cluster_testing_qa__debugging,-.0140150308853722,.0092118078361742,-1.521420239612038,.1281544129736372,-.0320701742442736,.0040401124735292
