coef,b,se,z,p,ci_low,ci_high
cluster_architecture__methods,.0005104598814363,.0037173456665072,.1373183790884655,.8907791436360144,-.0067755376249178,.0077964573877904
cluster_bi__analytics,.0088387666855211,.0032460408522845,2.722937599291318,.0064704278078445,.0024765266150435,.0152010067559987
cluster_backend_development,-.0007475912435895,.003544347722854,-.2109249153995309,.832945861795596,-.0076945127803833,.0061993302932043
cluster_certifications,-.0062806580992406,.0065625267620026,-.9570487598779733,.3385426446187345,-.0191432105527657,.0065818943542845
cluster_cloud_computing,.0108930080230962,.0036120390207056,3.015750372754358,.0025634420465275,.0038134115425132,.0179726045036792
cluster_data_engineering,.0068538284557923,.0032682511784745,2.097093546828128,.0359852951332102,.0004480561459823,.0132596007656023
cluster_data_science__ml,.0707196813933991,.0040902785775543,17.28969801261911,0,.0627027353813927,.0787366274054055
cluster_databases__storage,-.006220513707266,.003384884759028,-1.837732788590497,.0661017898104748,-.0128548878349609,.0004138604204289
cluster_devops__containers,.0003757925989275,.0034600275900923,.1086097116692284,.9135120575282227,-.0064058614776534,.0071574466755084
cluster_dynamic__web,.0280715525498445,.0037738835987481,7.438372651227663,1.01918473661e-13,.0206747406962982,.0354683644033908
cluster_enterprise__managed,-.0033500792876968,.003378069183809,-.9917142324241449,.3213369462842199,-.0099710948879624,.0032709363125688
cluster_enterprise_platforms,.0031797814012228,.0066937947750809,.4750341933188965,.6347626016879442,-.0099400563579358,.0162996191603814
cluster_frontend_development,.0053295969402538,.0039413993683843,1.352209315048063,.1763083646406847,-.0023955458217794,.013054739702287
cluster_generative_ai,.1233176868428988,.0042899043638641,28.74602237794907,0,.1149094742897252,.1317258993960724
cluster_mobile__desktop,-.0175594839503426,.0054429652088545,-3.226087854057418,.0012549482936528,-.0282276957596974,-.0068912721409878
cluster_networking,-.0058234305199181,.0041911229466099,-1.389467833347274,.1646905357083144,-.0140380314952735,.0023911704554373
cluster_os__embedded,-.0195829540675369,.0057356309120881,-3.414263289896312,.0006395473968397,-.0308247906552296,-.0083411174798442
cluster_scripting__shell,-.0156944155104857,.007035196694585,-2.230842461386433,.0256915661949024,-.0294834010318723,-.0019054299890991
cluster_security__identity,.0057577093123319,.0039100843052676,1.472528176585658,.1408783039472055,-.0019060559259926,.0134214745506564
cluster_systems_programming,.0019513544139265,.0060602679012648,.3219914442262932,.7474591761598022,-.0099267706725525,.0138294795004055
cluster_testing_qa__debugging,-.0007443804146786,.0029928917538762,-.2487161166836477,.8035803812083384,-.006610448252276,.0051216874229188
