coef,b,se,z,p,ci_low,ci_high
cluster_architecture__methods,.0114975212968294,.0071195523704093,1.614921935909352,.1063276012228096,-.0024568013491728,.0254518439428316
cluster_bi__analytics,.0155447968371288,.0054890261559497,2.831977184200404,.0046261149476703,.0047863055714674,.0263032881027902
cluster_backend_development,.0146474213763063,.0060269777194959,2.430309527928937,.0150859331021644,.0028345450460943,.0264602977065183
cluster_certifications,-.0146732571088674,.0113530897682745,-1.292446145354272,.1962026848907912,-.0369253130546854,.0075787988369506
cluster_cloud_computing,.0278065073907785,.0060538459671518,4.593197042286302,4.36506546464e-06,.015940969295161,.039672045486396
cluster_data_engineering,-.0142448772627749,.0056171600881584,-2.535957145463005,.0112140456254222,-.0252545110355654,-.0032352434899844
cluster_data_science__ml,.1420088803127204,.0064257794316799,22.09986847861581,0,.1294143526266278,.154603407998813
cluster_databases__storage,-.0182156858670003,.0057149369766166,-3.187381757932261,.0014356714525456,-.0294169623411688,-.0070144093928318
cluster_devops__containers,.0084344977292062,.0059913712970488,1.407774165717425,.1591979524761662,-.0033085900130094,.0201775854714218
cluster_dynamic__web,.0256794873701068,.0058280516343372,4.406187347210629,.0000105205978842,.0142565061668059,.0371024685734077
cluster_enterprise__managed,-.0322980123347687,.005727667975817,-5.638946334029022,1.71093843537e-08,-.04352424156737,-.0210717831021674
cluster_enterprise_platforms,.0436595461873071,.0110140215740301,3.96399679207563,.0000737052431226,.0220720639022081,.0652470284724061
cluster_frontend_development,.043144079261322,.0061029204025286,7.069415364396081,1.55586654671e-12,.0311823552723659,.0551058032502781
cluster_generative_ai,.2332740801529974,.0129519320009526,18.01075547152659,0,.2078882934311303,.2586598668748645
cluster_mobile__desktop,.0014436634776523,.0077254463669745,.1868712057627913,.8517616159524954,-.0136982114016177,.0165855383569223
cluster_networking,-.0010056980730022,.0059513158883309,-.1689875133286291,.8658064630673328,-.0126702772141308,.0106588810681264
cluster_os__embedded,-.0132950866565673,.0074103334805459,-1.794127982427572,.0727927436450089,-.0278193402784373,.0012291669653027
cluster_scripting__shell,-.0158956435565415,.0087703232747089,-1.812435306960689,.0699189615208728,-.0330854771749709,.0012941900618879
cluster_security__identity,-.002397781914898,.0060610219204603,-.3956068706506018,.6923950677318362,-.0142773848790002,.0094818210492042
cluster_systems_programming,-.0198260585792391,.0075935903729725,-2.610893873049175,.0090305913465336,-.0347094957102652,-.004942621448213
cluster_testing_qa__debugging,-.0031830888001628,.0051706653013128,-.6156052683113397,.5381550733601137,-.0133175927907359,.0069514151904103
