coef,b,se,z,p,ci_low,ci_high
cluster_architecture__methods,-.006279667918657,.0046489673960246,-1.350766177458426,.1767703457765943,-.0153916440148652,.0028323081775512
cluster_bi__analytics,.00794456333008,.0035812556983271,2.21837366535741,.0265293651777805,.0009253021613589,.0149638244988011
cluster_backend_development,-.004691371723793,.0041627233027551,-1.126995810816447,.2597442521760833,-.012850309397193,.003467565949607
cluster_certifications,-.0208780908528955,.0074216588845554,-2.813129945428126,.0049061820266247,-.0354245422666241,-.0063316394391669
cluster_cloud_computing,.0142142209418319,.0040905940219606,3.474854963734362,.0005111296234344,.0061966566587891,.0222317852248747
cluster_data_engineering,.0317719154982784,.003709799387568,8.564321727139761,0,.0245007086986451,.0390431222979117
cluster_data_science__ml,.1260464333919977,.0035019837102562,35.99286684939386,0,.1191825453198955,.1329103214640998
cluster_databases__storage,-.0003520560724035,.0038736961649179,-.0908837599582262,.9275849544590582,-.0079445005556426,.0072403884108356
cluster_devops__containers,-.0014268128918634,.0041131942182567,-.3468868271598728,.7286763433172017,-.0094886735596465,.0066350477759197
cluster_dynamic__web,.0298546339703675,.0039929594925819,7.476818641869844,7.61612994893e-14,.022028433364907,.037680834575828
cluster_enterprise__managed,-.0155523544387039,.0039338346728479,-3.953484508652411,.0000770212527328,-.0232626703974858,-.007842038479922
cluster_enterprise_platforms,-.0158911436172256,.0074376963439966,-2.13656794822664,.0326331488830736,-.0304690284514589,-.0013132587829923
cluster_frontend_development,-.0112778561533963,.0040301017670774,-2.798404805934942,.0051355704945661,-.019176855616868,-.0033788566899246
cluster_generative_ai,.0988897825325081,.0051254521514399,19.29386512850908,0,.0888438963156859,.1089356687493303
cluster_mobile__desktop,-.0043781300448818,.0061178386320415,-.7156334627644197,.4742177055888979,-.0163690937636831,.0076128336739195
cluster_networking,-.004302123936079,.0041145421701084,-1.045589948581243,.2957503919512108,-.0123666265894915,.0037623787173335
cluster_os__embedded,-.0112871493744764,.0050378742448576,-2.240458738325542,.0250611566332448,-.0211613828943973,-.0014129158545555
cluster_scripting__shell,-.0158576480234594,.0064192950671783,-2.470309879435075,.013499605560414,-.0284394663551289,-.0032758296917899
cluster_security__identity,-.0100476309948733,.0039473118887542,-2.545436306540349,.0109141272842541,-.0177843622968315,-.0023108996929151
cluster_systems_programming,.0358538440172166,.0046365321357131,7.732901006131443,1.04360964315e-14,.0267662410312189,.0449414470032143
cluster_testing_qa__debugging,-.0076224156569111,.0034562856618341,-2.205377796482892,.0274275947832614,-.0143967355541059,-.0008480957597163
