coef,b,se,z,p,ci_low,ci_high
cluster_architecture__methods,.0062474063888029,.0071979154623057,.8679466189231508,.3854235562299011,-.0078605079173163,.0203553206949221
cluster_bi__analytics,.0251933824255904,.0056767181717432,4.438018880520547,9.07906569791e-06,.0140670148089737,.0363197500422071
cluster_backend_development,.0090873608381495,.0060817562103721,1.49420011651429,.135123322176339,-.0028328813341798,.0210076030104788
cluster_certifications,-.0303775437848706,.0118787620444388,-2.557298788478741,.0105488565963068,-.0536599173919706,-.0070951701777706
cluster_cloud_computing,.0410545177733102,.0064634800366753,6.351766778942188,2.12855955084e-10,.0283860969014266,.0537229386451938
cluster_data_engineering,.0178780647418828,.0057084056500918,3.131884073724735,.0017368844169505,.0066895896677029,.0290665398160627
cluster_data_science__ml,.2841392440946446,.0072810191453189,39.02465278879577,0,.2698684465698196,.2984100416194696
cluster_databases__storage,-.017294782683385,.0055382928639248,-3.122764199784259,.0017916122388515,-.0281498366966776,-.0064397286700924
cluster_devops__containers,.0064404626413441,.0061097554643455,1.054127727194402,.2918244432614399,-.0055346580687731,.0184155833514613
cluster_dynamic__web,.0555943776463764,.0058160563960815,9.558775544857587,0,.0441949071100567,.0669938481826961
cluster_enterprise__managed,-.0447077734073293,.006015932059997,-7.43156221869826,1.07247544179e-13,-.0564990002449234,-.0329165465697352
cluster_enterprise_platforms,.0279059251450302,.0114030387595412,2.447235840681558,.0143956607294897,.0055559691763294,.050255881113731
cluster_frontend_development,.0275840258642531,.0060522097855246,4.557678408674352,5.17221508356e-06,.0157216946846249,.0394463570438813
cluster_generative_ai,.3283637765477528,.0159601777591291,20.5739423146419,0,.2970818281398597,.3596457249556458
cluster_mobile__desktop,-.0025670356974199,.0080215117340437,-.3200189418816495,.7489539714941431,-.0182891986961456,.0131551273013058
cluster_networking,-.00453279188476,.006412957855709,-.7068176630421449,.4796797965759241,-.0171021892819496,.0080366055124296
cluster_os__embedded,-.0237526194518839,.0077006940316571,-3.084477756711055,.0020390985704541,-.0388459797539318,-.008659259149836
cluster_scripting__shell,-.0324795002843129,.0093136042214709,-3.487318068491362,.0004878907402623,-.0507341645583959,-.0142248360102299
cluster_security__identity,-.0115114509651935,.0065486628611267,-1.757832279552249,.0787760512052043,-.0243468301730018,.0013239282426148
cluster_systems_programming,.0194370072432822,.0074693125923006,2.602248467056788,.009261472575856,.004797154562373,.0340768599241914
cluster_testing_qa__debugging,-.0101975178846027,.0051421869526982,-1.98310912816032,.047355241209369,-.0202762043118912,-.0001188314573142
